Symbol,Description,Price,Price - Currency,Exchange,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Dividend yield %, Trailing 12 months",Performance % 5 years,Performance % 1 year,Performance % 6 months,Performance % 3 months,Performance % 1 month,Simple Moving Average (21) 1 day,Simple Moving Average (200) 1 day,Simple Moving Average (50) 1 day,Beta 5 years,Beta 1 year,Average True Range (14) 1 day,"Return on equity %, Trailing 12 months","Return on capital employed %, Trailing 12 months",perf_sum,perf_norm,MRAT,Diff,score
HTWS,Helios Towers Plc,146.6,GBX,LSE,-0.14,2060649718.99,USD,,0.0,-11.15,39.62,33.93,23.4,3.09,145.77,116.15,139.46,0.9,1.18,3.4,,,96.95,1.1,1.26,1.26,2.35
EZPW,"EZCORP, Inc.",18.26,USD,NASDAQ,0.88,1111957365.25,USD,14.81,0.0,268.14,57.68,11.54,34.86,1.5,18.57,14.88,17.58,0.62,0.09,0.53,10.95,9.4,104.09,1.1,1.25,1.23,2.35
CVNA,Carvana Co.,350.46,USD,NYSE,2.47,75420200469.61,USD,87.75,0.0,73.92,76.2,48.95,4.3,-7.6,358.38,293.92,363.11,3.55,2.23,20.4,49.91,21.63,129.46,1.13,1.22,1.19,2.35
PWR,"Quanta Services, Inc.",445.61,USD,NYSE,4.27,65651624672.62,USD,69.11,0.09,623.39,44.29,56.63,8.0,11.34,426.96,342.82,401.36,1.04,1.37,15.81,13.47,12.29,108.92,1.11,1.25,1.3,2.35
WYNN,"Wynn Resorts, Limited",126.14,USD,NASDAQ,0.59,13115599903.6,USD,37.21,0.8,64.57,27.43,54.77,16.38,-0.82,123.13,98.14,122.09,1.3,0.96,4.19,,10.08,98.58,1.1,1.25,1.29,2.35
BAMI,Banco BPM SpA,12.12,EUR,MIL,-0.29,21346755144.09,USD,7.64,8.22,638.2,96.07,26.33,19.28,-2.53,12.54,10.38,12.32,0.95,1.1,0.3,16.45,3.76,141.68,1.14,1.21,1.17,2.35
MAIRE,MAIRE S.p.A.,13.26,EUR,MIL,2.71,4914583613.08,USD,17.07,2.76,940.0,80.65,61.71,8.24,9.05,12.88,10.73,12.55,1.41,1.37,0.46,42.37,24.46,150.61,1.15,1.2,1.24,2.35
GALD,Galderma Group AG,143.6,CHF,SIX,2.79,41225907126.69,USD,104.19,0.11,135.41,83.09,58.06,7.4,2.79,140.14,116.2,140.39,0.54,1.21,4.04,5.04,6.68,148.56,1.15,1.21,1.24,2.35
MBB,MBB SE,199.2,EUR,XETR,-1.39,1004764487.01,USD,22.68,0.55,156.04,93.02,29.52,15.95,18.57,177.85,146.35,169.9,1.31,0.3,5.92,7.18,10.16,138.49,1.14,1.22,1.36,2.35
SESG,SES SA FDR (Class A),6.64,EUR,EURONEXT,1.14,3152147746.84,USD,,6.47,-6.46,73.86,41.14,6.32,5.9,6.5,5.31,6.2,0.62,0.28,0.22,-2.14,1.41,121.32,1.12,1.22,1.25,2.34
CLMT,"Calumet, Inc",20.08,USD,NASDAQ,0.45,1741984714.41,USD,,0.0,448.63,-3.09,96.48,16.95,7.61,18.66,15.15,17.62,0.98,1.4,0.82,,-15.35,110.34,1.11,1.23,1.33,2.34
PCT,Polar Capital Technology Trust PLC,452.26,GBX,LSE,2.44,6672981940.02,USD,48.63,0.0,107.46,44.58,58.13,17.32,2.79,439.99,361.89,422.74,0.63,1.12,9.04,3.11,,120.04,1.12,1.22,1.25,2.34
HSII,"Heidrick & Struggles International, Inc.",58.26,USD,NASDAQ,0.02,1208097032.03,USD,36.66,1.03,165.18,49.08,52.83,25.32,16.73,55.65,45.92,52.35,1.02,0.73,0.75,7.18,12.57,127.23,1.13,1.21,1.27,2.34
PRDO,Perdoceo Education Corporation,36.97,USD,NASDAQ,0.38,2401326458.2,USD,16.04,1.47,210.41,72.52,48.95,29.27,3.44,35.95,30.11,34.7,0.87,0.67,0.85,16.39,18.08,150.73,1.15,1.19,1.23,2.34
BAMNB,Koninklijke BAM Groep NV,7.8,EUR,EURONEXT,2.23,2411881912.81,USD,16.46,3.27,582.85,72.22,45.48,0.19,-3.58,8.04,6.55,7.93,1.34,1.11,0.29,11.89,13.44,117.89,1.12,1.23,1.19,2.34
LC,LendingClub Corporation,18.52,USD,NYSE,1.48,2124987586.63,USD,20.95,0.0,269.66,25.82,70.22,39.98,6.99,15.93,13.2,16.33,2.49,1.4,0.91,7.4,,136.02,1.14,1.21,1.4,2.34
FNV,Franco-Nevada Corporation,267.56,CAD,TSX,0.05,36810772472.87,USD,47.04,0.78,48.08,41.8,15.53,21.4,-9.86,293.05,232.89,277.72,0.59,0.81,9.24,12.9,14.3,78.72,1.08,1.26,1.15,2.34
EUROB,Eurobank Ergasias Services & Holdings SA,3.38,EUR,ATHEX,-3.57,14980728496.79,USD,8.78,3.0,948.14,78.57,35.0,6.47,1.78,3.47,2.85,3.36,1.76,1.5,0.1,16.0,4.15,120.04,1.12,1.22,1.18,2.34
FTDR,"Frontdoor, Inc.",70.06,USD,NASDAQ,0.99,5104193246.35,USD,20.68,0.0,70.06,40.75,73.3,18.35,3.75,66.77,55.22,64.81,1.34,1.31,1.57,109.83,30.72,132.4,1.13,1.21,1.27,2.34
FRO,Frontline Plc,23.81,USD,NYSE,-2.22,5300651196.2,USD,22.27,4.44,274.96,17.87,48.35,27.87,0.51,22.97,18.47,22.29,0.2,0.85,0.82,9.93,8.4,94.09,1.09,1.24,1.29,2.34
STAA,STAAR Surgical Company,27.12,USD,NASDAQ,0.59,1338483747.28,USD,,0.0,-63.84,-10.88,52.87,41.69,1.12,26.46,21.01,27.07,0.83,1.16,1.05,-25.55,-25.29,83.69,1.08,1.26,1.29,2.34
